"#";"Article_NO";"Barcode";"Article_text";"Stock_Location";"QTY";"Min QTY";"Manufacturer";"Batchnumber";"Best-Before-Date";"INV_Date";"Price";"Last modified"
"1";"BAU-2940-GU";"BAU-2940-GU";"Baustein 2x2 gruen";"04-500-01";"33";"";"";"";"";"";"";"2024-12-20 14:45:54"
"2";"CLM-2550-GE";"CLM-2550-GE";"Clips mittel gelb 8 cm";"02-300-02";"12";"";"";"";"";"";"";"2024-12-20 14:45:54"
"3";"BAU-2940-GU";"BAU-2940-GU";"Baustein 2x2 gruen";"04-500-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"4";"CLM-2550-GE";"CLM-2550-GE";"Clips mittel gelb 8 cm";"02-300-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"5";"BAU-2950-BL";"BAU-2950-BL";"Baustein 2x2 blau";"04-500-02";"35";"";"";"";"";"";"";"2024-12-20 14:45:54"
"6";"DOM-4800-LI";"DOM-4800-LI";"Dominostein lila";"03-200-06";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"7";"BAU-2950-BL";"BAU-2950-BL";"Baustein 2x2 blau";"04-500-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"8";"DOM-4800-LI";"DOM-4800-LI";"Dominostein lila";"03-200-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"9";"BAU-2960-RO";"BAU-2960-RO";"Baustein 2x2 rot";"04-500-03";"30";"";"";"";"";"";"";"2024-12-20 14:45:54"
"10";"DOM-4810-GE";"DOM-4810-GE";"Dominostein gelb";"03-200-04";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"11";"BAU-2960-RO";"BAU-2960-RO";"Baustein 2x2 rot";"04-500-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"12";"DOM-4810-GE";"DOM-4810-GE";"Dominostein gelb";"03-200-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"13";"BAU-2970-WE";"BAU-2970-WE";"Baustein 2x2 weiß";"04-500-04";"32";"";"";"";"";"";"";"2024-12-20 14:45:54"
"14";"DOM-4820-OR";"DOM-4820-OR";"Dominostein orange";"03-100-06";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"15";"BAU-2970-WE";"BAU-2970-WE";"Baustein 2x2 weiß";"04-500-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"16";"DOM-4820-OR";"DOM-4820-OR";"Dominostein orange";"03-100-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"17";"BAU-2980-SW";"BAU-2980-SW";"Baustein 2x2 schwarz";"04-500-05";"33";"";"";"";"";"";"";"2024-12-20 14:45:54"
"18";"DOM-4830-SW";"DOM-4830-SW";"Dominostein schwarz";"03-100-05";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"19";"BAU-2980-SW";"BAU-2980-SW";"Baustein 2x2 schwarz";"04-500-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"20";"DOM-4830-SW";"DOM-4830-SW";"Dominostein schwarz";"03-100-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"21";"BAU-2990-GE";"BAU-2990-GE";"Baustein 2x2 gelb";"04-500-06";"30";"";"";"";"";"";"";"2024-12-20 14:45:54"
"22";"DOM-4840-RO";"DOM-4840-RO";"Dominostein rot";"03-100-03";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"23";"BAU-2990-GE";"BAU-2990-GE";"Baustein 2x2 gelb";"04-500-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"24";"DOM-4840-RO";"DOM-4840-RO";"Dominostein rot";"03-100-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"25";"BAU-3000-OR";"BAU-3000-OR";"Baustein 2x2 orange";"04-600-01";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"26";"DOM-4850-HG";"DOM-4850-HG";"Dominostein hellgruen";"03-200-01";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"27";"BAU-3000-OR";"BAU-3000-OR";"Baustein 2x2 orange";"04-600-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"28";"DOM-4850-HG";"DOM-4850-HG";"Dominostein hellgruen";"03-200-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"29";"BAU-3010-GR";"BAU-3010-GR";"Baustein 2x2 grau";"04-600-02";"29";"";"";"";"";"";"";"2024-12-20 14:45:54"
"30";"DOM-4860-DG";"DOM-4860-DG";"Dominostein dunkelgruen";"03-100-01";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"31";"BAU-3010-GR";"BAU-3010-GR";"Baustein 2x2 grau";"04-600-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"32";"DOM-4860-DG";"DOM-4860-DG";"Dominostein dunkelgruen";"03-100-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"33";"BAU-3020-BR";"BAU-3020-BR";"Baustein 2x2 braun";"04-600-03";"22";"";"";"";"";"";"";"2024-12-20 14:45:54"
"34";"DOM-4870-RO";"DOM-4870-RO";"Dominostein rosa";"03-100-04";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"35";"BAU-3020-BR";"BAU-3020-BR";"Baustein 2x2 braun";"04-600-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"36";"DOM-4870-RO";"DOM-4870-RO";"Dominostein rosa";"03-100-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"37";"BAU-3030-LI";"BAU-3030-LI";"Baustein 2x2 lila";"04-600-04";"28";"";"";"";"";"";"";"2024-12-20 14:45:54"
"38";"DOM-4880-HB";"DOM-4880-HB";"Dominostein hellblau";"03-200-02";"20";"";"";"";"";"";"";"2024-12-20 14:45:54"
"39";"BAU-3030-LI";"BAU-3030-LI";"Baustein 2x2 lila";"04-600-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"40";"DOM-4880-HB";"DOM-4880-HB";"Dominostein hellblau";"03-200-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:54"
"41";"BAU-3040-OR";"BAU-3040-OR";"Baustein 2x3 orange";"04-600-05";"17";"";"";"";"";"";"";"2024-12-20 14:45:55"
"42";"DOM-4890-DB";"DOM-4890-DB";"Dominostein dunkelblau";"03-100-02";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"43";"BAU-3040-OR";"BAU-3040-OR";"Baustein 2x3 orange";"04-600-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"44";"DOM-4890-DB";"DOM-4890-DB";"Dominostein dunkelblau";"03-100-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"45";"BAU-3050-WE";"BAU-3050-WE";"Baustein 2x3 weiß";"04-600-06";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"46";"DOM-4900-BR";"DOM-4900-BR";"Dominostein braun";"03-200-03";"20";"";"";"";"";"";"";"2024-12-20 14:45:55"
"47";"BAU-3050-WE";"BAU-3050-WE";"Baustein 2x3 weiß";"04-600-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"48";"DOM-4900-BR";"DOM-4900-BR";"Dominostein braun";"03-200-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"49";"BAU-3060-BR";"BAU-3060-BR";"Baustein 2x3 braun";"04-700-01";"16";"";"";"";"";"";"";"2024-12-20 14:45:55"
